fecha,segmento,vendedor,categoria_producto,sub_categoria_producto,precio,stock_vendido,stock_disponible
14-02-2021,América del Sur-Brasil-Curitiba,Homecenter,Deporte,Bicicletas,82124,232,224
22-01-2019,América Central-México-Cancún,Easy,Electrónico,Audífonos,133397,151,119
16-02-2017,América Central-México-Guadalajara,Ripley,Moda,Pantalones,52185,199,243
01-10-2023,América del Sur-Colombia-Cali,Linio,Cocina,Ollas,75254,232,178
21-03-2023,América del Sur-Perú-Arequipa,Easy,Electrónico,Tablets,86194,224,49
04-10-2020,América del Sur-Perú-Trujillo,Ripley,Doméstico,Lavadoras,114424,437,14
24-04-2019,América del Sur-Chile-Valparaíso,Mercado Libre,Automotriz,Aceites,156157,76,52
11-08-2019,América Central-México-Monterrey,Linio,Cocina,Microondas,36580,67,162
14-06-2021,América del Sur-Perú-Cusco,Amazon,Automotriz,Filtros,91742,377,82
26-12-2022,América Central-México-Monterrey,Paris,Deporte,Colchonetas,129590,82,90
13-07-2022,América del Sur-Colombia-Medellín,Hites,Deporte,Pesas,40553,140,51
23-06-2019,América Central-México-Ciudad de México,eBay,Baño,Calefones,89900,136,338
18-10-2019,América Central-México-Monterrey,Aliexpress,Electrónico,Audífonos,161856,61,299
29-05-2023,América del Sur-Perú-Lima,Hites,Jardinería,Mangueras,33746,86,51
11-09-2020,América del Sur-Perú-Cusco,eBay,Moda,Carteras,199235,92,163
03-01-2020,América del Sur-Brasil-Río de Janeiro,eBay,Automotriz,Neumáticos,180054,68,75
20-09-2020,América Central-México-Monterrey,eBay,Cocina,Cuchillos,166683,51,49
19-04-2023,América del Sur-Chile-Temuco,eBay,Jardinería,Fertilizantes,184095,48,8
26-06-2020,América Central-México-Guadalajara,ElectroChile,Baño,Espejos,73467,32,225
27-12-2022,América del Sur-Brasil-Curitiba,Easy,Baño,Jacuzzis,192300,88,16
13-11-2021,América Central-México-Monterrey,Aliexpress,Baño,Dispensadores de jabón,92316,203,5
16-12-2018,América del Sur-Perú-Trujillo,Paris,Moda,Poleras,178899,54,33
07-01-2019,América del Sur-Colombia-Cartagena,Falabella,Jardinería,Tijeras podadoras,136602,82,110
12-09-2022,América Central-México-Cancún,ElectroChile,Moda,Poleras,10491,315,60
13-01-2020,América del Sur-Brasil-Río de Janeiro,Sodimac,Doméstico,Ventiladores,52582,144,308
03-07-2020,América del Sur-Argentina-Mendoza,Easy,Deporte,Colchonetas,188227,60,47
04-06-2019,América del Sur-Perú-Cusco,Amazon,Deporte,Colchonetas,24172,62,243
04-10-2020,América Central-México-Monterrey,Walmart,Electrónico,Audífonos,22026,51,28
02-09-2017,América del Sur-Perú-Cusco,Linio,Jardinería,Fertilizantes,63896,47,48
17-05-2017,América Central-México-Ciudad de México,PC Factory,Jardinería,Fertilizantes,34715,34,74
15-11-2017,América Central-México-Ciudad de México,Sodimac,Automotriz,Aceites,135285,142,234
15-04-2020,América Central-México-Monterrey,Walmart,Cocina,Ollas,97936,178,224
22-04-2021,América Central-México-Guadalajara,Linio,Electrónico,Drones,35973,135,195
25-04-2020,América Central-México-Ciudad de México,Walmart,Baño,Toallas,65068,1,68
20-10-2019,América Central-México-Cancún,ElectroChile,Deporte,Trotadoras,143131,141,136
27-08-2023,América Central-México-Guadalajara,Sodimac,Jardinería,Rastrillos,11567,263,141
22-12-2022,América Central-México-Ciudad de México,eBay,Automotriz,Neumáticos,164614,286,49
09-12-2017,América Central-México-Cancún,Sodimac,Moda,Pantalones,40981,29,274
18-04-2020,América Central-México-Guadalajara,Homecenter,Baño,Duchas,123673,12,160
30-08-2018,América Central-México-Guadalajara,Falabella,Cocina,Sartenes,110088,184,166
17-11-2021,América Central-México-Guadalajara,Linio,Jardinería,Maceteros,82812,94,1
03-01-2023,América del Sur-Argentina-Rosario,ElectroChile,Automotriz,Aceites,141560,47,8
20-02-2017,América Central-México-Monterrey,Linio,Moda,Chaquetas,142072,190,264
22-12-2021,América Central-México-Ciudad de México,Mercado Libre,Baño,Toallas,135931,92,20
16-11-2022,América del Sur-Perú-Arequipa,Ripley,Jardinería,Rastrillos,144454,335,27
10-10-2022,América del Sur-Perú-Cusco,Linio,Deporte,Pesas,60163,264,174
03-08-2021,América Central-México-Guadalajara,Homecenter,Electrónico,Cámaras,152600,62,267
04-04-2020,América Central-México-Guadalajara,Paris,Electrónico,Computadores,185416,31,101
06-05-2019,América del Sur-Chile-Santiago,Mercado Libre,Moda,Mochilas,42317,25,158
08-08-2017,América del Sur-Argentina-Buenos Aires,Mercado Libre,Baño,Jacuzzis,47158,64,36
15-10-2021,América del Sur-Colombia-Cali,Sodimac,Jardinería,Rastrillos,149155,102,2
25-01-2017,América del Sur-Chile-Temuco,Amazon,Deporte,Pesas,178404,296,160
24-05-2017,América Central-México-Ciudad de México,Amazon,Deporte,Patines,95424,65,11
24-11-2022,América Central-México-Ciudad de México,Mercado Libre,Deporte,Pelotas,55942,275,69
18-01-2023,América Central-México-Ciudad de México,Amazon,Automotriz,Neumáticos,155860,187,11
20-03-2022,América del Sur-Colombia-Cali,PC Factory,Jardinería,Maceteros,44590,147,19
08-03-2020,América Central-México-Cancún,Linio,Cocina,Cuchillos,90844,25,109
13-05-2018,América Central-México-Cancún,eBay,Automotriz,Neumáticos,185538,118,10
16-08-2020,América Central-México-Monterrey,Sodimac,Deporte,Bicicletas,187131,139,26
03-06-2022,América Central-México-Cancún,Falabella,Baño,Jacuzzis,109643,34,36
19-08-2017,América del Sur-Colombia-Medellín,Paris,Automotriz,Baterías,176782,10,316
20-07-2018,América del Sur-Colombia-Cali,Paris,Cocina,Hornos,45599,77,4
21-03-2023,América del Sur-Perú-Trujillo,Ripley,Deporte,Pesas,31259,100,15
07-06-2019,América Central-México-Guadalajara,Sodimac,Automotriz,Baterías,145467,179,209
07-08-2020,América Central-México-Guadalajara,Amazon,Deporte,Colchonetas,112703,271,55
06-04-2021,América del Sur-Colombia-Bogotá,Linio,Electrónico,Cámaras,98861,150,15
14-03-2020,América Central-México-Monterrey,Falabella,Doméstico,Refrigeradores,173697,52,360
21-05-2021,América del Sur-Chile-Concepción,Walmart,Jardinería,Mangueras,84912,88,154
01-10-2017,América Central-México-Monterrey,Aliexpress,Baño,Toallas,181308,27,89
25-05-2020,América Central-México-Cancún,Mercado Libre,Baño,Dispensadores de jabón,34227,30,48
03-06-2019,América Central-México-Cancún,Aliexpress,Moda,Carteras,109485,25,266
15-09-2022,América Central-México-Cancún,Homecenter,Deporte,Bicicletas,163756,112,44
22-05-2017,América del Sur-Argentina-Buenos Aires,Sodimac,Deporte,Patines,61792,103,158
13-06-2020,América Central-México-Ciudad de México,Homecenter,Baño,Jacuzzis,61482,4,257
04-09-2019,América Central-México-Guadalajara,ElectroChile,Doméstico,Lavadoras,156102,9,153
26-02-2022,América Central-México-Cancún,Hites,Deporte,Bicicletas,64896,40,196
24-08-2017,América del Sur-Brasil-Río de Janeiro,Amazon,Moda,Mochilas,185673,136,249
20-08-2022,América del Sur-Argentina-Mendoza,Walmart,Cocina,Ollas,29296,106,152
26-05-2020,América del Sur-Argentina-Buenos Aires,Sodimac,Jardinería,Fertilizantes,167833,82,416
18-11-2018,América del Sur-Brasil-Curitiba,Easy,Automotriz,Filtros,180882,2,439
30-07-2021,América del Sur-Perú-Lima,eBay,Automotriz,Herramientas de reparación,13665,317,182
16-08-2017,América del Sur-Chile-Valparaíso,Falabella,Baño,Duchas,48808,86,13
06-12-2018,América del Sur-Argentina-Mendoza,Aliexpress,Electrónico,Cámaras,159997,41,67
19-01-2019,América Central-México-Cancún,Paris,Doméstico,Lavadoras,173005,86,44
20-02-2019,América Central-México-Monterrey,Mercado Libre,Deporte,Bicicletas,162359,67,86
15-07-2019,América Central-México-Cancún,Aliexpress,Deporte,Pelotas,91018,17,23
12-05-2019,América del Sur-Brasil-Curitiba,Amazon,Electrónico,Audífonos,169433,5,18
24-11-2022,América Central-México-Monterrey,Falabella,Electrónico,Computadores,187487,138,207
23-10-2021,América del Sur-Colombia-Cali,Falabella,Moda,Poleras,188533,291,149
14-11-2018,América del Sur-Brasil-Río de Janeiro,Aliexpress,Automotriz,Filtros,17310,125,12
21-09-2017,América Central-México-Ciudad de México,Falabella,Cocina,Sartenes,87350,44,145
24-03-2022,América Central-México-Cancún,Easy,Jardinería,Rastrillos,178806,42,349
06-12-2018,América del Sur-Perú-Trujillo,Falabella,Electrónico,Audífonos,188418,446,26
13-08-2022,América Central-México-Ciudad de México,Amazon,Cocina,Hornos,119079,58,348
03-01-2022,América del Sur-Argentina-Rosario,Paris,Electrónico,Televisores,63501,9,31
14-07-2022,América Central-México-Monterrey,Falabella,Electrónico,Celulares,119792,320,27
09-05-2020,América Central-México-Cancún,Sodimac,Cocina,Ollas,181995,163,290
11-05-2022,América Central-México-Ciudad de México,Easy,Automotriz,Baterías,160957,150,316
01-09-2018,América del Sur-Chile-Concepción,Aliexpress,Baño,Dispensadores de jabón,24919,21,16
04-11-2023,América del Sur-Argentina-Mendoza,Easy,Cocina,Sartenes,190020,338,119
19-11-2021,América del Sur-Brasil-Brasilia,Ripley,Moda,Carteras,165318,117,74
27-07-2023,América Central-México-Guadalajara,Linio,Moda,Zapatillas,174498,10,44
07-11-2018,América del Sur-Brasil-São Paulo,Ripley,Automotriz,Aceites,65101,31,4
08-06-2017,América del Sur-Perú-Lima,Walmart,Electrónico,Computadores,142904,290,25
08-02-2019,América Central-México-Ciudad de México,Mercado Libre,Cocina,Batidoras,82702,180,115
06-07-2020,América del Sur-Chile-Temuco,Falabella,Jardinería,Mangueras,65197,335,0
21-07-2019,América del Sur-Chile-Concepción,Easy,Moda,Mochilas,178728,5,102
22-10-2019,América del Sur-Brasil-Curitiba,Linio,Jardinería,Mangueras,175324,151,64
12-11-2017,América del Sur-Colombia-Cartagena,Sodimac,Automotriz,Baterías,146598,5,17
22-12-2021,América Central-México-Monterrey,Linio,Automotriz,Herramientas de reparación,69639,393,48
05-08-2022,América Central-México-Ciudad de México,Easy,Cocina,Batidoras,118611,17,133
25-11-2017,América del Sur-Perú-Lima,Easy,Automotriz,Baterías,112867,141,149
11-01-2017,América Central-México-Monterrey,Falabella,Electrónico,Tablets,94326,189,265
12-05-2020,América del Sur-Perú-Cusco,Homecenter,Moda,Poleras,76188,241,14
17-01-2022,América del Sur-Perú-Trujillo,Walmart,Jardinería,Maceteros,20173,236,201
24-09-2022,América del Sur-Brasil-Brasilia,Mercado Libre,Deporte,Colchonetas,163557,11,45
05-08-2018,América del Sur-Colombia-Bogotá,PC Factory,Doméstico,Refrigeradores,81863,5,281
30-01-2018,América del Sur-Chile-Temuco,Ripley,Automotriz,Filtros,47330,283,52
30-09-2017,América del Sur-Brasil-Curitiba,PC Factory,Jardinería,Tijeras podadoras,19385,446,21
01-02-2019,América Central-México-Ciudad de México,Walmart,Cocina,Batidoras,57117,160,92
04-05-2018,América Central-México-Guadalajara,Ripley,Automotriz,Herramientas de reparación,68289,10,175
09-04-2018,América del Sur-Colombia-Medellín,Hites,Doméstico,Refrigeradores,173553,197,64
25-07-2018,América del Sur-Chile-Santiago,ElectroChile,Automotriz,Aceites,162902,254,46
13-02-2019,América del Sur-Brasil-Brasilia,PC Factory,Cocina,Microondas,147431,93,7
13-01-2018,América Central-México-Guadalajara,Paris,Electrónico,Computadores,188444,22,102
06-12-2018,América del Sur-Argentina-Buenos Aires,eBay,Baño,Duchas,114505,205,10
19-02-2020,América Central-México-Ciudad de México,ElectroChile,Electrónico,Computadores,81979,11,161
15-07-2018,América Central-México-Guadalajara,Easy,Automotriz,Baterías,17843,164,98
04-06-2021,América Central-México-Guadalajara,Hites,Deporte,Pesas,143722,30,181
24-11-2018,América Central-México-Guadalajara,Hites,Automotriz,Neumáticos,116555,337,99
09-03-2022,América Central-México-Ciudad de México,eBay,Automotriz,Baterías,168999,106,280
30-05-2023,América del Sur-Chile-Santiago,eBay,Electrónico,Audífonos,119639,23,36
11-08-2022,América Central-México-Guadalajara,Homecenter,Deporte,Colchonetas,30883,20,404
20-03-2020,América del Sur-Argentina-Buenos Aires,Mercado Libre,Deporte,Trotadoras,149092,46,69
05-06-2022,América del Sur-Brasil-Río de Janeiro,Sodimac,Electrónico,Drones,29555,192,176
11-07-2017,América del Sur-Argentina-Rosario,Linio,Cocina,Hornos,128616,268,69
08-05-2020,América Central-México-Guadalajara,eBay,Electrónico,Audífonos,103148,72,147
05-07-2020,América Central-México-Cancún,Ripley,Moda,Carteras,105450,200,180
05-07-2021,América del Sur-Brasil-Brasilia,Walmart,Doméstico,Aspiradoras,135996,370,100
26-07-2022,América del Sur-Perú-Lima,Amazon,Deporte,Pesas,174517,41,33
29-05-2022,América del Sur-Colombia-Bogotá,Amazon,Deporte,Colchonetas,95272,189,103
15-08-2023,América del Sur-Colombia-Medellín,Ripley,Electrónico,Audífonos,195186,229,227
30-03-2019,América del Sur-Chile-Temuco,Linio,Baño,Dispensadores de jabón,156698,461,16
16-10-2018,América Central-México-Cancún,Easy,Electrónico,Tablets,195725,21,27
07-11-2020,América del Sur-Colombia-Cali,Homecenter,Deporte,Patines,34992,355,9
12-01-2020,América del Sur-Chile-Santiago,Paris,Deporte,Pelotas,90029,103,385
07-09-2020,América Central-México-Guadalajara,Linio,Moda,Pantalones,22147,52,157
01-09-2020,América del Sur-Colombia-Medellín,Falabella,Automotriz,Filtros,52838,42,396
03-04-2021,América Central-México-Cancún,PC Factory,Doméstico,Refrigeradores,181033,154,96
06-06-2020,América Central-México-Ciudad de México,Falabella,Cocina,Sartenes,103833,276,194
27-10-2022,América Central-México-Ciudad de México,Hites,Cocina,Cuchillos,60249,7,125
24-09-2020,América Central-México-Monterrey,PC Factory,Moda,Mochilas,43488,58,193
19-11-2022,América del Sur-Brasil-Río de Janeiro,Linio,Automotriz,Neumáticos,108211,62,53
13-08-2017,América del Sur-Perú-Lima,PC Factory,Jardinería,Rastrillos,67589,50,72
19-11-2019,América del Sur-Colombia-Medellín,ElectroChile,Doméstico,Aspiradoras,47268,47,28
20-01-2018,América del Sur-Argentina-Rosario,Falabella,Cocina,Sartenes,82346,17,43
06-03-2022,América del Sur-Argentina-Rosario,Easy,Electrónico,Televisores,133535,50,91
20-08-2019,América Central-México-Cancún,Falabella,Baño,Dispensadores de jabón,147615,440,33
25-06-2018,América del Sur-Argentina-Rosario,eBay,Cocina,Batidoras,85550,339,1
19-01-2018,América del Sur-Perú-Trujillo,eBay,Jardinería,Rastrillos,111647,213,5
27-01-2023,América Central-México-Monterrey,Easy,Doméstico,Ventiladores,182706,169,165
12-09-2023,América Central-México-Monterrey,Sodimac,Baño,Espejos,66356,399,20
27-11-2021,América del Sur-Brasil-São Paulo,Aliexpress,Doméstico,Ventiladores,153514,188,63
03-05-2020,América del Sur-Brasil-Río de Janeiro,Hites,Baño,Dispensadores de jabón,15574,28,37
22-08-2018,América del Sur-Argentina-Buenos Aires,Falabella,Cocina,Batidoras,14563,28,52
27-08-2018,América del Sur-Argentina-Rosario,Aliexpress,Automotriz,Baterías,88721,166,223
22-04-2021,América del Sur-Chile-Valparaíso,Aliexpress,Baño,Jacuzzis,122918,73,23
04-10-2022,América Central-México-Guadalajara,Linio,Cocina,Batidoras,35023,248,242
05-06-2017,América del Sur-Perú-Arequipa,Amazon,Doméstico,Cafeteras,55789,144,131
13-07-2020,América Central-México-Guadalajara,Walmart,Doméstico,Ventiladores,193640,227,242
13-12-2019,América Central-México-Ciudad de México,Amazon,Doméstico,Aspiradoras,92541,275,132
31-08-2018,América Central-México-Ciudad de México,Hites,Deporte,Trotadoras,196233,15,444
03-11-2023,América del Sur-Chile-Concepción,Easy,Electrónico,Audífonos,89575,287,25
18-11-2018,América Central-México-Guadalajara,Homecenter,Jardinería,Tijeras podadoras,150951,49,68
11-10-2017,América del Sur-Colombia-Cali,Sodimac,Deporte,Bicicletas,66536,151,178
30-06-2021,América Central-México-Cancún,Walmart,Baño,Calefones,96894,54,423
25-09-2018,América del Sur-Colombia-Bogotá,Falabella,Doméstico,Lavadoras,129663,301,198
24-09-2019,América Central-México-Monterrey,Paris,Electrónico,Tablets,82876,68,269
24-11-2018,América Central-México-Cancún,Falabella,Cocina,Cuchillos,137061,191,158
06-01-2022,América del Sur-Colombia-Medellín,Paris,Moda,Zapatillas,69969,87,178
26-08-2021,América Central-México-Ciudad de México,Linio,Doméstico,Lavadoras,40655,214,20
11-12-2022,América Central-México-Guadalajara,Amazon,Cocina,Sartenes,87036,35,330
05-09-2019,América del Sur-Chile-Valparaíso,Linio,Electrónico,Audífonos,47417,109,143
09-05-2018,América del Sur-Chile-Santiago,Linio,Cocina,Hornos,36045,55,140
11-04-2021,América Central-México-Guadalajara,Easy,Deporte,Bicicletas,196105,267,17
13-07-2019,América del Sur-Perú-Cusco,Ripley,Deporte,Pelotas,106935,19,52
01-01-2018,América Central-México-Ciudad de México,Hites,Doméstico,Aspiradoras,43155,0,407
17-02-2020,América Central-México-Guadalajara,Paris,Deporte,Patines,160702,161,214
18-01-2018,América del Sur-Perú-Lima,Sodimac,Doméstico,Lavadoras,12072,1,27
06-08-2021,América Central-México-Ciudad de México,Aliexpress,Jardinería,Mangueras,48678,80,42
16-07-2019,América del Sur-Chile-Concepción,Amazon,Cocina,Cuchillos,20134,416,46
06-12-2018,América del Sur-Colombia-Bogotá,ElectroChile,Jardinería,Fertilizantes,48380,216,263
09-10-2018,América del Sur-Argentina-Córdoba,Amazon,Automotriz,Filtros,195883,33,226
27-01-2017,América Central-México-Monterrey,ElectroChile,Moda,Mochilas,165705,203,252
26-02-2019,América del Sur-Chile-Concepción,Paris,Deporte,Trotadoras,141912,225,240
06-07-2018,América Central-México-Ciudad de México,Falabella,Electrónico,Celulares,70159,28,29
15-03-2022,América del Sur-Argentina-Mendoza,Linio,Baño,Duchas,63829,228,8
13-08-2019,América del Sur-Chile-Concepción,Easy,Baño,Espejos,187303,28,6
29-06-2022,América Central-México-Guadalajara,Amazon,Moda,Poleras,69265,61,87
30-06-2017,América del Sur-Colombia-Bogotá,ElectroChile,Jardinería,Mangueras,110355,138,269
08-09-2022,América Central-México-Cancún,Sodimac,Cocina,Hornos,91591,307,38
25-08-2017,América Central-México-Cancún,Homecenter,Doméstico,Lavadoras,178505,225,252
10-05-2019,América Central-México-Cancún,Walmart,Cocina,Batidoras,179346,200,175
29-08-2022,América Central-México-Guadalajara,PC Factory,Baño,Espejos,176043,7,310
10-01-2018,América del Sur-Perú-Arequipa,PC Factory,Deporte,Pesas,197112,265,187
20-05-2023,América del Sur-Brasil-São Paulo,eBay,Electrónico,Celulares,67448,64,344
16-07-2020,América Central-México-Cancún,Walmart,Baño,Jacuzzis,135061,11,354
30-01-2017,América del Sur-Chile-Temuco,Sodimac,Electrónico,Audífonos,199936,102,140
23-02-2017,América Central-México-Cancún,Aliexpress,Moda,Zapatillas,26885,19,30
03-04-2019,América del Sur-Chile-Temuco,Linio,Automotriz,Filtros,129178,19,260
24-12-2018,América del Sur-Argentina-Rosario,Aliexpress,Baño,Espejos,58429,414,12
04-09-2023,América Central-México-Cancún,Homecenter,Electrónico,Televisores,175001,57,134
12-03-2017,América Central-México-Ciudad de México,Paris,Moda,Mochilas,116489,12,131
27-12-2018,América del Sur-Perú-Lima,PC Factory,Baño,Calefones,96828,57,20
14-12-2019,América Central-México-Monterrey,Amazon,Moda,Mochilas,24723,67,431
26-07-2019,América Central-México-Cancún,Aliexpress,Doméstico,Licuadoras,80912,55,259
01-08-2018,América del Sur-Chile-Valparaíso,Sodimac,Automotriz,Filtros,131306,321,35
19-12-2022,América Central-México-Monterrey,Sodimac,Moda,Carteras,160385,76,138
25-02-2020,América Central-México-Monterrey,Ripley,Electrónico,Tablets,108865,22,51
13-11-2019,América Central-México-Ciudad de México,ElectroChile,Doméstico,Lavadoras,14522,102,9
24-01-2023,América del Sur-Perú-Cusco,Falabella,Cocina,Ollas,94463,145,246
31-07-2017,América Central-México-Monterrey,eBay,Electrónico,Drones,154109,170,114
25-11-2023,América del Sur-Perú-Cusco,Easy,Automotriz,Neumáticos,72340,10,280
09-02-2022,América Central-México-Ciudad de México,eBay,Deporte,Pesas,149337,13,168
06-12-2020,América Central-México-Monterrey,Linio,Doméstico,Aspiradoras,106605,96,282
19-06-2020,América Central-México-Guadalajara,PC Factory,Cocina,Cuchillos,23625,179,85
16-07-2017,América Central-México-Cancún,ElectroChile,Baño,Duchas,186729,10,22
23-12-2023,América Central-México-Guadalajara,Hites,Automotriz,Filtros,103093,55,277
23-05-2021,América del Sur-Argentina-Rosario,Homecenter,Baño,Calefones,68957,324,172
07-09-2020,América del Sur-Colombia-Medellín,eBay,Electrónico,Computadores,63201,9,46
09-10-2022,América Central-México-Guadalajara,Amazon,Doméstico,Refrigeradores,48606,104,332
09-06-2017,América del Sur-Perú-Trujillo,Hites,Jardinería,Mangueras,22994,180,63
15-08-2022,América del Sur-Argentina-Mendoza,Paris,Jardinería,Maceteros,140884,300,175
03-05-2018,América del Sur-Argentina-Mendoza,Mercado Libre,Jardinería,Tijeras podadoras,121165,161,321
25-07-2019,América Central-México-Monterrey,ElectroChile,Cocina,Batidoras,90988,26,304
03-08-2020,América Central-México-Cancún,Aliexpress,Baño,Duchas,28502,65,116
03-06-2018,América Central-México-Monterrey,Ripley,Deporte,Pelotas,188323,49,109
29-05-2020,América Central-México-Cancún,Ripley,Baño,Jacuzzis,61138,256,119
28-04-2017,América del Sur-Colombia-Cali,Falabella,Electrónico,Audífonos,56584,298,105
31-08-2019,América del Sur-Chile-Temuco,Amazon,Cocina,Cuchillos,67431,27,215
06-06-2020,América del Sur-Colombia-Cali,Paris,Jardinería,Maceteros,164948,9,391
06-10-2019,América Central-México-Ciudad de México,Homecenter,Deporte,Pesas,177700,354,1
21-07-2018,América del Sur-Colombia-Cartagena,Mercado Libre,Electrónico,Tablets,169223,68,282
06-09-2021,América Central-México-Ciudad de México,Falabella,Electrónico,Drones,15484,53,199
31-01-2017,América Central-México-Guadalajara,PC Factory,Moda,Chaquetas,13864,95,197
09-03-2018,América Central-México-Monterrey,Homecenter,Cocina,Hornos,119655,131,184
31-01-2022,América Central-México-Monterrey,Sodimac,Baño,Jacuzzis,177336,149,162
20-07-2017,América Central-México-Cancún,ElectroChile,Moda,Pantalones,37339,137,250
02-09-2021,América del Sur-Brasil-Curitiba,ElectroChile,Jardinería,Maceteros,141266,40,164
03-03-2017,América Central-México-Ciudad de México,Mercado Libre,Moda,Zapatillas,81858,20,46
28-04-2018,América Central-México-Guadalajara,ElectroChile,Doméstico,Aspiradoras,139331,95,388
06-08-2017,América Central-México-Cancún,Hites,Baño,Toallas,191146,28,173
31-03-2017,América Central-México-Monterrey,eBay,Electrónico,Audífonos,56178,42,58
21-12-2017,América del Sur-Perú-Lima,PC Factory,Doméstico,Lavadoras,165936,325,62
30-09-2018,América del Sur-Brasil-Curitiba,Sodimac,Jardinería,Rastrillos,130095,226,153
25-02-2021,América del Sur-Perú-Lima,ElectroChile,Cocina,Hornos,110399,19,393
01-10-2017,América Central-México-Ciudad de México,Hites,Moda,Pantalones,68183,78,85
20-09-2017,América Central-México-Cancún,Mercado Libre,Jardinería,Tijeras podadoras,147327,270,185
24-02-2019,América del Sur-Perú-Cusco,Amazon,Doméstico,Licuadoras,68140,72,280
08-10-2021,América del Sur-Colombia-Medellín,Sodimac,Moda,Poleras,165058,26,98
22-10-2022,América Central-México-Guadalajara,Paris,Cocina,Cuchillos,112062,81,297
24-06-2021,América del Sur-Colombia-Cartagena,Homecenter,Electrónico,Audífonos,14835,5,117
26-04-2018,América Central-México-Cancún,Linio,Jardinería,Fertilizantes,53893,221,110
25-01-2019,América Central-México-Ciudad de México,Easy,Jardinería,Mangueras,49612,226,211
17-05-2021,América Central-México-Monterrey,Homecenter,Electrónico,Cámaras,38257,25,30
27-10-2020,América del Sur-Brasil-Brasilia,Amazon,Doméstico,Cafeteras,83645,18,35
25-03-2021,América Central-México-Guadalajara,Homecenter,Automotriz,Herramientas de reparación,160117,170,137
09-05-2023,América del Sur-Argentina-Buenos Aires,PC Factory,Moda,Zapatillas,15085,69,82
23-11-2021,América Central-México-Monterrey,Walmart,Cocina,Microondas,56852,262,12
19-04-2023,América del Sur-Colombia-Bogotá,Sodimac,Jardinería,Mangueras,85202,372,82
10-12-2020,América Central-México-Guadalajara,eBay,Electrónico,Computadores,107927,17,25
13-10-2020,América del Sur-Chile-Valparaíso,Walmart,Moda,Pantalones,184124,302,193
